player_name,batting_matches,innings_batted,runs,balls_faced,dismissals,boundaries,powerplay_runs,powerplay_balls_x,middle_runs,middle_balls,death_runs,death_balls_x,thirty_plus_innings,fifty_plus_innings,batting_std_dev,batting_average,strike_rate,boundary_percent,powerplay_strike_rate,middle_overs_strike_rate,death_overs_strike_rate,batting_consistency_raw,recent_batting_form_raw,bowling_matches,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_runs_conceded,powerplay_balls_y,death_runs_conceded,death_balls_y,maiden_overs,bowling_std_dev,overs_bowled,bowling_average,economy,dot_ball_percent,death_overs_economy,powerplay_economy,wickets_per_match,bowling_consistency_raw,recent_bowling_form_raw,catches,stumpings,run_outs,matches_played,balls_per_match,overs_per_match,role,fielding_impact_raw,recent_form_raw,consistency_raw
Kuldeep Yadav,20.0,20.0,96.0,105.0,7.0,11.0,0.0,0.0,10.0,6.0,86.0,99.0,1.0,0.0,7.709187956417227,13.714285714285714,91.42857142857143,10.476190476190476,0.0,166.66666666666666,86.86868686868686,3.5,19.241346153846152,39.0,870.0,1123.0,41.0,268.0,20.0,6.0,200.0,156.0,0.0,2.9052069066574813,145.0,27.390243902439025,7.744827586206896,30.804597701149426,7.6923076923076925,20.0,1.0512820512820513,35.344120247568526,14.569444444444445,3.0,0.0,0.0,39.0,5.25,3.717948717948718,bowler,24.0,33.810790598290595,38.844120247568526
Ravi Bishnoi,12.0,12.0,37.0,49.0,7.0,3.0,0.0,0.0,9.0,17.0,28.0,32.0,0.0,0.0,3.502163833282434,5.285714285714286,75.51020408163265,6.122448979591836,0.0,52.94117647058823,87.5,0.0,3.8125,39.0,787.0,1175.0,35.0,249.0,76.0,42.0,194.0,109.0,0.0,4.074521013717818,131.16666666666666,33.57142857142857,8.958068614993646,31.639135959339264,10.678899082568808,10.857142857142858,0.8974358974358975,22.435897435897438,19.07986111111111,16.0,0.0,1.0,39.0,4.083333333333333,3.363247863247863,bowler,138.0,22.89236111111111,22.435897435897438
TU Deshpande,6.0,6.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.1690451944500122,7.0,70.0,0.0,0.0,0.0,70.0,0.0,3.5666666666666664,39.0,821.0,1328.0,47.0,296.0,579.0,408.0,559.0,287.0,0.0,3.0810187578387174,136.83333333333334,28.25531914893617,9.705237515225335,36.05359317904994,11.686411149825783,8.514705882352942,1.205128205128205,30.128205128205128,17.42013888888889,6.0,0.0,0.0,39.0,1.6666666666666667,3.508547008547009,bowler,48.0,20.986805555555556,30.128205128205128
F du Plessis,38.0,38.0,1370.0,909.0,36.0,190.0,801.0,517.0,503.0,352.0,66.0,40.0,18.0,14.0,25.12664932698226,38.05555555555556,150.71507150715072,20.9020902090209,154.9323017408124,142.89772727272728,165.0,44.21052631578947,28.179166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,38.0,23.92105263157895,0.0,batter,120.0,28.179166666666667,44.21052631578947
JC Buttler,38.0,38.0,1289.0,867.0,32.0,180.0,458.0,349.0,577.0,385.0,254.0,133.0,19.0,11.0,31.350142530774207,40.28125,148.67358708189158,20.761245674740483,131.23209169054442,149.87012987012986,190.97744360902254,43.68421052631579,57.89635120069903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,4.0,38.0,22.81578947368421,0.0,wicketkeeper,224.0,57.89635120069903,43.68421052631579
SV Samson,38.0,38.0,1178.0,785.0,30.0,161.0,381.0,266.0,649.0,443.0,148.0,76.0,17.0,9.0,25.20510458810471,39.266666666666666,150.06369426751593,20.50955414012739,143.2330827067669,146.50112866817156,194.73684210526315,38.421052631578945,35.46746347879625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,8.0,38.0,20.657894736842106,0.0,wicketkeeper,244.0,35.46746347879625,38.421052631578945
Tilak Varma,37.0,37.0,1102.0,735.0,28.0,142.0,132.0,92.0,679.0,491.0,291.0,152.0,18.0,6.0,20.46288664215608,39.357142857142854,149.93197278911563,19.31972789115646,143.47826086956522,138.28920570264765,191.44736842105263,38.91891891891892,22.081841231790523,2.0,10.0,15.0,0.0,3.0,0.0,0.0,8.0,4.0,0.0,3.5355339059327378,1.6666666666666667,15.0,9.0,30.0,12.0,0.0,0.0,0.0,5.5,22.0,0.0,2.0,37.0,19.864864864864863,0.8333333333333334,batter,196.0,27.581841231790523,38.91891891891892
AK Markram,37.0,37.0,913.0,673.0,33.0,108.0,341.0,251.0,478.0,363.0,94.0,59.0,14.0,7.0,19.906802374584945,27.666666666666668,135.66121842496284,16.047548291233284,135.85657370517927,131.68044077134985,159.32203389830508,32.16216216216216,50.07947407007254,13.0,127.0,187.0,5.0,30.0,41.0,24.0,1.0,1.0,0.0,3.2038138330625703,21.166666666666668,37.4,8.834645669291339,23.62204724409449,6.0,10.25,0.38461538461538464,9.615384615384617,16.11111111111111,22.0,0.0,0.0,37.0,18.18918918918919,1.6282051282051282,batter,176.0,66.19058518118365,41.777546777546775
JM Sharma,37.0,37.0,757.0,488.0,31.0,105.0,12.0,22.0,404.0,286.0,341.0,180.0,7.0,1.0,16.94204925718943,24.419354838709676,155.12295081967213,21.516393442622952,54.54545454545455,141.25874125874125,189.44444444444446,14.054054054054054,35.95170454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,7.0,37.0,13.18918918918919,0.0,wicketkeeper,386.0,35.95170454545455,14.054054054054054
Avesh Khan,6.0,6.0,31.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,31.0,18.0,0.0,0.0,7.25028735062733,31.0,172.22222222222223,27.77777777777778,0.0,0.0,172.22222222222223,0.0,15.216666666666667,37.0,787.0,1296.0,40.0,232.0,428.0,233.0,516.0,314.0,0.0,3.099142925988711,131.16666666666666,32.4,9.880559085133418,29.479034307496825,9.859872611464969,11.021459227467812,1.0810810810810811,27.027027027027028,24.105784161490682,5.0,0.0,2.0,37.0,3.0,3.5450450450450446,bowler,60.0,39.32245082815735,27.027027027027028
