venue,player_name,skill_type,matches,runs,strike_rate,venue_score,wickets,economy,venue_rank
"M Chinnaswamy Stadium, Bengaluru",V Kohli,batter,19,856.0,158.22550831792975,257.9945933456562,0.0,0.0,1.0
"M Chinnaswamy Stadium, Bengaluru",F du Plessis,batter,15,561.0,168.46846846846847,201.411884961885,0.0,0.0,2.0
"M Chinnaswamy Stadium, Bengaluru",N Pooran,batter,2,102.0,255.0,164.9,0.0,0.0,3.0
"M Chinnaswamy Stadium, Bengaluru",TM Head,batter,1,102.0,248.78048780487805,161.99756097560976,0.0,0.0,4.0
"M Chinnaswamy Stadium, Bengaluru",GJ Maxwell,batter,12,315.0,186.3905325443787,156.75672404518556,0.0,0.0,5.0
"M Chinnaswamy Stadium, Bengaluru",Mohammed Siraj,bowler,14,0.0,0.0,396.54545454545456,21.0,7.909090909090909,1.0
"M Chinnaswamy Stadium, Bengaluru",Yash Dayal,bowler,13,0.0,0.0,262.3886925795053,14.0,8.968197879858657,2.0
"M Chinnaswamy Stadium, Bengaluru",HV Patel,bowler,8,0.0,0.0,188.13829787234042,10.0,9.861702127659575,3.0
"M Chinnaswamy Stadium, Bengaluru",Vijaykumar Vyshak,bowler,8,0.0,0.0,187.45762711864407,10.0,10.067796610169491,4.0
"M Chinnaswamy Stadium, Bengaluru",JR Hazlewood,bowler,4,0.0,0.0,157.0120481927711,8.0,9.397590361445783,5.0
"MA Chidambaram Stadium, Chepauk, Chennai",RD Gaikwad,batter,18,764.0,141.74397031539888,232.10148423005566,0.0,0.0,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",S Dube,batter,20,494.0,155.34591194968553,178.95157232704403,0.0,0.0,2.0
"MA Chidambaram Stadium, Chepauk, Chennai",DP Conway,batter,10,415.0,130.50314465408806,156.51906446540883,0.0,0.0,3.0
"MA Chidambaram Stadium, Chepauk, Chennai",MP Stoinis,batter,3,185.0,171.2962962962963,139.61574074074076,0.0,0.0,4.0
"MA Chidambaram Stadium, Chepauk, Chennai",R Ravindra,batter,8,238.0,156.57894736842104,128.6657894736842,0.0,0.0,5.0
"MA Chidambaram Stadium, Chepauk, Chennai",TU Deshpande,bowler,14,0.0,0.0,389.6504854368932,21.0,8.951456310679612,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",M Pathirana,bowler,13,0.0,0.0,374.08333333333337,20.0,8.041666666666666,2.0
"MA Chidambaram Stadium, Chepauk, Chennai",RA Jadeja,bowler,21,0.0,0.0,345.6966580976864,18.0,7.079691516709511,3.0
"MA Chidambaram Stadium, Chepauk, Chennai",DL Chahar,bowler,11,0.0,0.0,264.5257731958763,14.0,8.56701030927835,4.0
"MA Chidambaram Stadium, Chepauk, Chennai",Noor Ahmad,bowler,7,0.0,0.0,244.44,13.0,8.32,5.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Priyansh Arya,batter,5,154.0,205.33333333333334,134.23333333333335,0.0,0.0,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Ashutosh Sharma,batter,4,128.0,191.044776119403,124.92338308457714,0.0,0.0,2.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",PD Salt,batter,2,57.0,190.0,114.15,0.0,0.0,3.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Shashank Singh,batter,10,218.0,123.86363636363636,109.61515151515151,0.0,0.0,4.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Nithish Kumar Reddy,batter,1,64.0,172.97297297297297,109.07027027027027,0.0,0.0,5.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Arshdeep Singh,bowler,10,0.0,0.0,209.36363636363637,11.0,8.636363636363637,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",HV Patel,bowler,5,0.0,0.0,207.3529411764706,11.0,8.470588235294118,2.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",SM Curran,bowler,5,0.0,0.0,137.33333333333334,7.0,9.0,3.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Suyash Sharma,bowler,2,0.0,0.0,120.28571428571429,5.0,6.142857142857143,4.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",YS Chahal,bowler,5,0.0,0.0,116.125,6.0,8.5,5.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",RG Sharma,batter,1,81.0,162.0,111.95,0.0,0.0,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",B Sai Sudharsan,batter,1,80.0,163.26530612244898,111.71428571428572,0.0,0.0,2.0
"Narendra Modi Stadium, Ahmedabad",Shubman Gill,batter,22,1060.0,169.6,304.53936842105264,0.0,0.0,1.0
"Narendra Modi Stadium, Ahmedabad",B Sai Sudharsan,batter,19,968.0,157.65472312703582,281.81946254071664,0.0,0.0,2.0
"Narendra Modi Stadium, Ahmedabad",SS Iyer,batter,4,243.0,222.93577981651376,212.97385321100919,0.0,0.0,3.0
"Narendra Modi Stadium, Ahmedabad",Shashank Singh,batter,4,168.0,215.3846153846154,175.98461538461538,0.0,0.0,4.0
"Narendra Modi Stadium, Ahmedabad",WG Jacks,batter,1,100.0,243.90243902439025,158.41463414634146,0.0,0.0,5.0
"Narendra Modi Stadium, Ahmedabad",MM Sharma,bowler,13,0.0,0.0,531.6923076923077,29.0,8.676923076923076,1.0
"Narendra Modi Stadium, Ahmedabad",Rashid Khan,bowler,22,0.0,0.0,404.25,22.0,9.5125,2.0
"Narendra Modi Stadium, Ahmedabad",Mohammed Shami,bowler,10,0.0,0.0,326.1351351351351,17.0,7.756756756756757,3.0
"Narendra Modi Stadium, Ahmedabad",M Prasidh Krishna,bowler,7,0.0,0.0,252.2962962962963,13.0,7.7407407407407405,4.0
"Narendra Modi Stadium, Ahmedabad",Noor Ahmad,bowler,13,0.0,0.0,246.02272727272725,13.0,8.318181818181818,5.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",SA Yadav,batter,1,66.0,212.90322580645162,128.73225806451615,0.0,0.0,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Ishan Kishan,batter,1,75.0,182.9268292682927,118.75000000000001,0.0,0.0,2.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",JM Sharma,batter,5,160.0,163.26530612244898,117.81632653061226,0.0,0.0,3.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",LS Livingstone,batter,3,107.0,178.33333333333334,117.35833333333333,0.0,0.0,4.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",MP Stoinis,batter,1,72.0,180.0,116.15,0.0,0.0,5.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Arshdeep Singh,bowler,5,0.0,0.0,134.49557522123894,7.0,10.938053097345133,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",NT Ellis,bowler,3,0.0,0.0,80.18181818181819,4.0,9.272727272727273,2.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Harpreet Brar,bowler,4,0.0,0.0,67.8,3.0,7.9,3.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",K Rabada,bowler,2,0.0,0.0,66.5,3.0,11.0,4.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",SM Curran,bowler,5,0.0,0.0,60.23762376237624,3.0,10.03960396039604,5.0
